"name"	"ID"	"Ac_vs_LB_p.val"	"Glc_vs_Ac_p.val"	"Glc_vs_LB_p.val"	"Ac_vs_LB_p.adj"	"Glc_vs_Ac_p.adj"	"Glc_vs_LB_p.adj"	"imputed"	"Ac_vs_LB_significant"	"Glc_vs_Ac_significant"	"Glc_vs_LB_significant"	"significant"	"Ac_vs_LB_log2fc"	"Glc_vs_Ac_log2fc"	"Glc_vs_LB_log2fc"	"Ac_centered"	"Glc_centered"	"LB_centered"
"aapJ"	"PP_1297"	0.118045387057611	1.19518658981612e-05	4.7521936404041e-05	0.879	0.000984	0.00259	FALSE	FALSE	TRUE	TRUE	TRUE	-0.536	3.03	2.49	-1.19	1.84	-0.651
"aapP"	"PP_1300"	0.000154369851038591	8.27525487099078e-07	9.18598534376923e-05	0.216	1.21e-07	0.00834	FALSE	FALSE	TRUE	TRUE	TRUE	-2.22	4.61	2.39	-2.27	2.33	-0.0588
"accC-2"	"PP_5347"	0.00250668773412168	6.77909109887364e-07	9.26529599661962e-06	0.647	4.94e-08	5.55e-05	FALSE	FALSE	TRUE	TRUE	TRUE	-0.851	2.84	1.99	-1.23	1.61	-0.379
"aceA"	"PP_4116"	1.55455425625469e-08	1.21816909746629e-08	0.451878369228743	1.52e-13	5.38e-14	0.879	FALSE	TRUE	TRUE	FALSE	TRUE	4.6	-4.75	-0.15	3.12	-1.63	-1.48
"aceE"	"PP_0339"	7.2350120127808e-06	1.4780473425335e-06	0.0336811843116288	0.00783	1.47e-06	0.703	FALSE	TRUE	TRUE	FALSE	TRUE	-2.21	2.75	0.537	-1.66	1.1	0.559
"aceF"	"PP_0338"	1.77952623063831e-05	1.31006428106014e-06	0.00400112138999054	0.0275	9.07e-07	0.384	FALSE	TRUE	TRUE	FALSE	TRUE	-1.78	2.55	0.768	-1.44	1.11	0.338
"acsA"	"PP_4487"	8.71096554761578e-06	0.00022634940254123	0.00504634979897871	0.0105	0.0895	0.426	FALSE	TRUE	FALSE	FALSE	TRUE	2.3	-1.44	0.859	1.24	-0.193	-1.05
"add"	"PP_0591"	0.00782976225562214	0.0224781708011924	0.000245488699010635	0.752	0.783	0.0338	FALSE	FALSE	FALSE	TRUE	TRUE	-0.852	-0.68	-1.53	-0.0573	-0.737	0.794
"ahpC"	"PP_2439"	0.000111100331098824	0.00429550413164704	4.93761582862427e-06	0.168	0.589	7.18e-06	FALSE	FALSE	FALSE	TRUE	TRUE	-0.737	-0.408	-1.14	-0.11	-0.518	0.627
"ahpF"	"PP_2440"	7.80731002580119e-06	0.0220379201131857	7.3345799617086e-05	0.00884	0.781	0.00569	FALSE	TRUE	FALSE	FALSE	TRUE	-1.22	0.33	-0.886	-0.515	-0.185	0.7
"anmK"	"PP_0434"	0.318229799327238	2.63050333098364e-06	5.12631263172944e-06	0.904	1.37e-05	8.14e-06	FALSE	FALSE	TRUE	TRUE	TRUE	-0.297	3.4	3.11	-1.23	2.17	-0.936
"ansA"	"PP_2453"	3.49968360827498e-05	0.13042007234256	0.000159835571934202	0.0576	0.882	0.019	FALSE	FALSE	FALSE	TRUE	TRUE	-1.5	0.297	-1.2	-0.598	-0.301	0.899
"aroE.1"	"PP_3768"	1.78631524557938e-06	7.43592244837458e-06	0.0529126000991113	0.00056	0.000313	0.747	FALSE	TRUE	TRUE	FALSE	TRUE	-2.17	1.78	-0.384	-1.32	0.466	0.851
"aroF-2"	"PP_3080"	1.43737236964211e-06	0.00119920104905596	4.31871832120559e-05	0.000334	0.354	0.00216	TRUE	TRUE	FALSE	TRUE	TRUE	5.37	-2.02	3.35	2.46	0.443	-2.91
"arsC-3"	"PP_2716"	2.35660631830839e-06	0.000280066006256024	0.000331348272695459	0.00104	0.11	0.0479	FALSE	TRUE	FALSE	FALSE	TRUE	1.9	-0.96	0.936	0.952	-0.00814	-0.944
"aruG"	"PP_4479"	8.31004815067415e-07	4.49131161392171e-05	0.00035635668951286	7.58e-05	0.0119	0.0517	FALSE	TRUE	TRUE	FALSE	TRUE	-1.89	1.09	-0.8	-0.992	0.0958	0.896
"aspA"	"PP_5338"	2.39357170267757e-06	0.0921876551114621	8.18454175910873e-06	0.00108	0.868	3.86e-05	FALSE	TRUE	FALSE	TRUE	TRUE	-1.61	0.249	-1.36	-0.618	-0.369	0.987
"bdhA"	"PP_3073"	4.91162732195618e-05	0.20007076611522	1.60015268522042e-05	0.0813	0.897	0.000242	FALSE	FALSE	FALSE	TRUE	TRUE	-2.24	-0.386	-2.62	-0.617	-1	1.62
"bioB"	"PP_0362"	0.000568139197724119	0.356625959848937	0.000200433162492755	0.435	0.915	0.026	TRUE	FALSE	FALSE	TRUE	TRUE	5.92	1.03	6.95	1.63	2.66	-4.29
"bioH"	"PP_0364"	1.37675719019995e-05	0.932767671929313	1.46824465001239e-05	0.0199	0.939	0.000196	TRUE	TRUE	FALSE	TRUE	TRUE	4.96	-0.0444	4.91	1.67	1.62	-3.29
"bkdA1"	"PP_4401"	3.06316459842785e-05	0.125694833133282	0.000139677333171909	0.0503	0.881	0.0158	TRUE	FALSE	FALSE	TRUE	TRUE	-9.43	1.86	-7.57	-3.76	-1.9	5.67
"bkdA2"	"PP_4402"	1.52596171641209e-08	0.143874553201803	2.57916647970668e-08	1.52e-13	0.886	2.6e-14	FALSE	TRUE	FALSE	TRUE	TRUE	-5.41	0.362	-5.05	-1.93	-1.56	3.49
"bkdB"	"PP_4403"	3.13008855180151e-08	0.95248289427178	3.19678581577873e-08	2.2e-11	0.939	2.6e-14	FALSE	TRUE	FALSE	TRUE	TRUE	-2.58	0.00716	-2.57	-0.861	-0.854	1.71
"cobJ"	"PP_4826"	0.00940502260229293	5.3504571207559e-05	4.20543519244776e-06	0.765	0.0152	4.06e-06	FALSE	FALSE	TRUE	TRUE	TRUE	0.529	1.23	1.76	-0.235	1	-0.764
"copB"	"PP_5379"	0.00365902600442001	0.0035651328816376	4.41613977678946e-05	0.687	0.559	0.00226	TRUE	FALSE	FALSE	TRUE	TRUE	2.71	2.72	5.43	-0.00426	2.72	-2.71
"cspA-1"	"PP_1522"	0.0030405066694977	0.0173773159698677	0.000105430242792293	0.668	0.761	0.0104	FALSE	FALSE	FALSE	TRUE	TRUE	0.724	0.513	1.24	0.0702	0.583	-0.654
"cspD"	"PP_4010"	5.6508798233129e-06	7.06590421803685e-05	0.0115080397549264	0.00526	0.022	0.564	FALSE	TRUE	FALSE	FALSE	TRUE	1.39	-0.972	0.416	0.787	-0.185	-0.601
"cumA"	"PP_1034"	5.93675115400552e-08	0.265279050528117	9.39859046891818e-08	1.21e-09	0.906	2.6e-14	FALSE	TRUE	FALSE	TRUE	TRUE	2.32	-0.137	2.19	0.82	0.683	-1.5
"cyoA"	"PP_0812"	0.052249789109825	0.000913195444887324	8.46230970485784e-05	0.853	0.301	0.00725	FALSE	FALSE	FALSE	TRUE	TRUE	-0.474	-1.08	-1.55	0.202	-0.878	0.676
"cyoB"	"PP_0813"	2.68979888087357e-06	0.114418159503212	9.84144078188672e-07	0.00139	0.877	5.57e-09	FALSE	TRUE	FALSE	TRUE	TRUE	-1.3	-0.189	-1.49	-0.369	-0.559	0.928
"cysD"	"PP_1303"	3.15675593276754e-08	0.514658389984138	4.00282529878224e-08	2.31e-11	0.924	2.6e-14	FALSE	TRUE	FALSE	TRUE	TRUE	2.46	-0.076	2.38	0.845	0.769	-1.61
"cysNC"	"PP_1304"	0.00265923861928627	0.035865012275844	0.000151161529351839	0.653	0.817	0.0176	FALSE	FALSE	FALSE	TRUE	TRUE	0.87	0.507	1.38	0.121	0.628	-0.749
"cysP"	"PP_5171"	3.30732617313959e-07	0.0170177726220278	9.09962881952538e-08	3.59e-06	0.759	2.6e-14	FALSE	TRUE	FALSE	TRUE	TRUE	2.96	0.555	3.51	0.801	1.36	-2.16
"dadA-2"	"PP_5270"	1.71925917471138e-07	0.0209080542678675	6.56415141809815e-07	2.83e-07	0.777	5.95e-10	FALSE	TRUE	FALSE	TRUE	TRUE	-2.44	0.4	-2.04	-0.947	-0.547	1.49
"dppD"	"PP_0879"	9.18079891427507e-07	1.07153941333723e-05	0.00415900649858676	9.87e-05	0.000772	0.391	FALSE	TRUE	TRUE	FALSE	TRUE	-1.86	1.33	-0.531	-1.06	0.267	0.798
"dppF"	"PP_0878"	3.13945840511668e-06	1.65344415897411e-05	0.041158782719245	0.00191	0.00189	0.724	FALSE	TRUE	TRUE	FALSE	TRUE	-3.5	2.79	-0.719	-2.1	0.689	1.41
"eda"	"PP_1024"	1.83283566580716e-06	1.79310312176621e-09	8.49294927237254e-08	0.000592	5.38e-14	2.6e-14	FALSE	TRUE	TRUE	TRUE	TRUE	-1.28	3.21	1.93	-1.5	1.72	-0.217
"edd"	"PP_1010"	0.00743847120794818	1.43753810722303e-05	0.000350916933801443	0.748	0.00145	0.0509	FALSE	FALSE	TRUE	FALSE	TRUE	-0.85	2.28	1.43	-1.04	1.24	-0.194
"est"	"PP_4021"	8.53363936443772e-05	7.29655938042936e-05	0.86693864309957	0.134	0.0229	0.905	FALSE	FALSE	TRUE	FALSE	TRUE	1.83	-1.87	-0.0423	1.24	-0.639	-0.596
"exbD"	"PP_5307"	0.00598781535517825	9.7581525101897e-06	0.00023540495783095	0.731	0.000618	0.0321	FALSE	FALSE	TRUE	TRUE	TRUE	0.943	-2.56	-1.62	1.17	-1.39	0.226
"exsB"	"PP_1226"	0.00778695124887992	0.0153971072975589	0.000189166402896903	0.752	0.75	0.024	FALSE	FALSE	FALSE	TRUE	TRUE	0.768	0.667	1.43	0.0337	0.7	-0.734
"fadA"	"PP_2137"	0.000116426187911766	0.420900117336391	0.000270266273845355	0.175	0.919	0.038	FALSE	FALSE	FALSE	TRUE	TRUE	-1.38	0.164	-1.22	-0.516	-0.352	0.868
"fadAx"	"PP_2215"	4.85121658180529e-06	0.0170588972511963	4.56875422195432e-05	0.00413	0.759	0.0024	FALSE	TRUE	FALSE	TRUE	TRUE	-3.17	0.854	-2.31	-1.34	-0.487	1.83
"fadB2x"	"PP_2214"	1.66035323792104e-08	0.44579044293995	2.14809610099755e-08	1.99e-13	0.921	2.6e-14	FALSE	TRUE	FALSE	TRUE	TRUE	-2.42	0.0809	-2.34	-0.834	-0.753	1.59
"fadDx"	"PP_2213"	5.9485142513335e-05	0.713625583534386	4.28981508183106e-05	0.0974	0.932	0.00214	TRUE	FALSE	FALSE	TRUE	TRUE	-5.01	-0.241	-5.25	-1.59	-1.83	3.42
"fecA"	"PP_4613"	1.05200634507128e-08	0.526395120456902	8.65826993881078e-09	1.06e-13	0.925	2.6e-14	FALSE	TRUE	FALSE	TRUE	TRUE	-2.78	-0.0722	-2.85	-0.903	-0.975	1.88
"fpvA"	"PP_4217"	0.000620542880594693	6.09982024262369e-05	0.0497534950400097	0.45	0.0181	0.742	FALSE	FALSE	TRUE	FALSE	TRUE	1.41	-2.01	-0.592	1.14	-0.866	-0.274
"fruK"	"PP_0794"	3.52148443668847e-05	1.49011622735423e-05	0.304283207796146	0.0579	0.00156	0.861	FALSE	FALSE	TRUE	FALSE	TRUE	-1.24	1.41	0.161	-0.883	0.522	0.361
"gabT"	"PP_0214"	3.53753790728359e-05	0.000359708365137527	7.20507795295284e-07	0.0582	0.142	9.99e-10	FALSE	FALSE	FALSE	TRUE	TRUE	-0.826	-0.586	-1.41	-0.0799	-0.666	0.746
"gap-1"	"PP_1009"	0.724296011485224	2.3951148474905e-07	2.03955423066312e-07	0.922	1.13e-10	1.74e-13	FALSE	FALSE	TRUE	TRUE	TRUE	0.0586	2.71	2.77	-0.883	1.82	-0.941
"gcdH"	"PP_0158"	0.00196058119251769	0.0358118926985803	0.000120257121521654	0.618	0.817	0.0127	FALSE	FALSE	FALSE	TRUE	TRUE	-2.19	-1.21	-3.4	-0.326	-1.54	1.86
"gcvH.1"	"PP_0989"	5.24137004192414e-06	0.000581766602725713	0.000648725086830602	0.00466	0.218	0.0992	FALSE	TRUE	FALSE	FALSE	TRUE	-1.99	1	-0.985	-0.996	0.00572	0.991
"gcvP-1"	"PP_0988"	6.48793278971643e-06	0.00093514910742893	0.000586421053559697	0.00662	0.305	0.0891	FALSE	TRUE	FALSE	FALSE	TRUE	-2.53	1.22	-1.31	-1.25	-0.0315	1.28
"gcvT-1"	"PP_0986"	1.04366952503032e-05	0.00336680307657416	0.000406139342844369	0.0137	0.549	0.0596	FALSE	TRUE	FALSE	FALSE	TRUE	-1.42	0.586	-0.833	-0.668	-0.0821	0.75
"ggt-2"	"PP_4659"	1.95690529664792e-05	8.2148994128558e-05	2.47486227514848e-07	0.0307	0.0268	8.38e-13	FALSE	TRUE	FALSE	TRUE	TRUE	1.14	0.928	2.07	0.0705	0.999	-1.07
"glcB"	"PP_0356"	3.37072933255055e-08	5.55632893481898e-08	0.200021281639035	3.39e-11	5.38e-14	0.84	FALSE	TRUE	TRUE	FALSE	TRUE	2.58	-2.42	0.165	1.67	-0.75	-0.915
"glpD"	"PP_1073"	2.37797646991118e-05	0.11839234072827	6.63360521012402e-06	0.038	0.878	1.98e-05	FALSE	TRUE	FALSE	TRUE	TRUE	-2.11	-0.412	-2.52	-0.567	-0.979	1.55
"glpK"	"PP_1075"	2.4310779153616e-05	0.000690232390235219	7.67093014450665e-07	0.0389	0.248	1.41e-09	FALSE	TRUE	FALSE	TRUE	TRUE	-1.36	-0.827	-2.19	-0.178	-1.01	1.18
"gltD"	"PP_5075"	5.38653682106429e-05	0.00129111084112023	1.72051206114747e-06	0.0889	0.369	9.66e-08	FALSE	FALSE	FALSE	TRUE	TRUE	1.64	1.01	2.65	0.211	1.22	-1.43
"gltR-2"	"PP_1012"	0.565464495636579	5.04979009110974e-05	3.06155666042777e-05	0.917	0.014	0.00108	FALSE	FALSE	TRUE	TRUE	TRUE	0.101	1.37	1.47	-0.421	0.944	-0.522
"gnuK"	"PP_3416"	0.000523540580277018	4.05314371124867e-07	1.10744289400366e-05	0.422	3.24e-09	9.16e-05	FALSE	FALSE	TRUE	TRUE	TRUE	-1.57	4.32	2.75	-1.96	2.36	-0.396
"hemO"	"PP_1005"	0.072417101079169	0.000582192418734084	7.20757500797901e-05	0.864	0.218	0.00553	FALSE	FALSE	FALSE	TRUE	TRUE	-0.281	-0.759	-1.04	0.159	-0.6	0.44
"hisA"	"PP_0292"	0.000288942912146124	0.117265770983603	5.39915963591325e-05	0.32	0.878	0.00331	FALSE	FALSE	FALSE	TRUE	TRUE	0.854	0.241	1.09	0.204	0.445	-0.649
"hmgA"	"PP_4621"	0.00977505080397722	0.00169920172220387	4.94879019521096e-05	0.768	0.423	0.0028	TRUE	FALSE	FALSE	TRUE	TRUE	-3.16	-4.36	-7.52	0.401	-3.96	3.56
"hpd"	"PP_3433"	7.93174650973434e-07	0.657522051658582	6.27338134241335e-07	6.66e-05	0.93	4.63e-10	FALSE	TRUE	FALSE	TRUE	TRUE	-2.43	-0.0778	-2.51	-0.784	-0.861	1.65
"htpX"	"PP_1871"	6.39696927108367e-05	0.309019695065145	2.57302740187246e-05	0.104	0.911	0.000756	FALSE	FALSE	FALSE	TRUE	TRUE	-1.65	-0.23	-1.88	-0.475	-0.705	1.18
"hupA"	"PP_5313"	0.00657318275859512	0.0275023682180394	0.000247901321584685	0.739	0.799	0.0342	FALSE	FALSE	FALSE	TRUE	TRUE	1.71	1.26	2.97	0.151	1.41	-1.56
"hutG"	"PP_5029"	8.02902946121499e-05	0.538964260595572	4.5697772234225e-05	0.127	0.925	0.0024	TRUE	FALSE	FALSE	TRUE	TRUE	-5.71	-0.485	-6.2	-1.74	-2.23	3.97
"hutH"	"PP_5032"	2.57134243638056e-07	0.0332247391156132	9.01296867277654e-07	1.37e-06	0.812	3.43e-09	FALSE	TRUE	FALSE	TRUE	TRUE	-3.86	0.598	-3.26	-1.49	-0.889	2.38
"hutI"	"PP_5030"	4.18065956574395e-06	0.845989421663311	4.75477266248734e-06	0.00321	0.936	6.31e-06	FALSE	TRUE	FALSE	TRUE	TRUE	-4.66	0.0816	-4.58	-1.58	-1.5	3.08
"hutU"	"PP_5033"	8.16641705607115e-08	0.0210219512471997	2.73099664676296e-07	6.81e-09	0.777	1.69e-12	FALSE	TRUE	FALSE	TRUE	TRUE	-2.25	0.335	-1.92	-0.863	-0.528	1.39
"ibpA"	"PP_1982"	0.024113305174621	0.00122202370198896	6.67749225536443e-05	0.82	0.358	0.00486	FALSE	FALSE	FALSE	TRUE	TRUE	0.458	0.815	1.27	-0.119	0.696	-0.577
"icd"	"PP_4011"	1.20486769900735e-05	9.07614903240593e-07	0.0032456862485701	0.0166	1.76e-07	0.345	FALSE	FALSE	TRUE	FALSE	TRUE	0.97	-1.38	-0.412	0.784	-0.598	-0.186
"ileS"	"PP_0603"	9.09577500478186e-05	5.99598015748918e-05	0.65513268494977	0.142	0.0177	0.894	FALSE	FALSE	TRUE	FALSE	TRUE	2.31	-2.45	-0.144	1.59	-0.865	-0.721
"ilvC"	"PP_4678"	5.49620117287374e-05	0.316188807358316	0.000146905571192116	0.0906	0.911	0.017	FALSE	FALSE	FALSE	TRUE	TRUE	1.23	-0.165	1.07	0.466	0.301	-0.767
"ilvH"	"PP_4679"	3.26251483452313e-06	0.000125429597168252	0.00155227627076086	0.00206	0.0463	0.216	FALSE	TRUE	FALSE	FALSE	TRUE	1.64	-0.981	0.661	0.874	-0.106	-0.768
"ivd"	"PP_4064"	4.64834873461353e-08	0.0016402345546378	3.18317024298529e-07	2.98e-10	0.416	5.19e-12	FALSE	TRUE	FALSE	TRUE	TRUE	-3.66	0.827	-2.84	-1.5	-0.67	2.17
"kguD"	"PP_3376"	0.0606733962355325	2.55726626679079e-08	5.51695193700917e-08	0.858	5.38e-14	2.6e-14	FALSE	FALSE	TRUE	TRUE	TRUE	-0.386	3.99	3.6	-1.46	2.53	-1.07
"kguK"	"PP_3378"	0.157286656316321	0.000115730689509238	2.95117381319034e-05	0.887	0.0419	0.000995	FALSE	FALSE	TRUE	TRUE	TRUE	0.87	3.99	4.86	-1.04	2.95	-1.91
"leuB"	"PP_1988"	2.20897495508396e-05	0.0278791277099279	3.38709696942843e-06	0.0352	0.8	1.86e-06	FALSE	TRUE	FALSE	TRUE	TRUE	1.73	0.515	2.25	0.406	0.921	-1.33
"leuC"	"PP_1985"	2.81435613893125e-05	0.233325133934208	1.05957486564427e-05	0.0459	0.902	8.13e-05	FALSE	TRUE	FALSE	TRUE	TRUE	2.14	0.314	2.45	0.608	0.922	-1.53
"leuD"	"PP_1986"	2.15876667603896e-08	0.0489207610258555	4.81443412973792e-08	1.54e-12	0.836	2.6e-14	FALSE	TRUE	FALSE	TRUE	TRUE	2.52	-0.253	2.26	0.923	0.67	-1.59
"lsfA"	"PP_0235"	7.27677466636845e-08	0.0765868904254358	1.65371976163108e-07	3.62e-09	0.859	2.6e-14	FALSE	TRUE	FALSE	TRUE	TRUE	2.23	-0.23	2	0.819	0.589	-1.41
"lysA-1"	"PP_2077"	0.00139081040205944	0.00620033357746893	3.30589852969535e-05	0.573	0.644	0.00127	FALSE	FALSE	FALSE	TRUE	TRUE	1.45	1.11	2.56	0.113	1.22	-1.34
"maeB"	"PP_5085"	0.00152093645634947	5.52052605875165e-06	0.000291034786243896	0.585	0.000141	0.0415	FALSE	FALSE	TRUE	FALSE	TRUE	-0.767	1.77	0.998	-0.844	0.921	-0.0773
"mdoH"	"PP_5025"	1.02409949303336e-05	1.64153353795991e-05	0.536779076765321	0.0133	0.00187	0.886	TRUE	TRUE	TRUE	FALSE	TRUE	-4.3	4.03	-0.274	-2.78	1.25	1.53
"metE"	"PP_2698"	0.000380064206368127	0.0236738411419186	2.7957153846267e-05	0.367	0.787	0.000896	FALSE	FALSE	FALSE	TRUE	TRUE	1.07	0.502	1.57	0.19	0.691	-0.881
"mmsA-1"	"PP_0597"	0.000196649566890072	0.889768260658272	0.000170536383938773	0.255	0.938	0.0207	FALSE	FALSE	FALSE	TRUE	TRUE	-1.91	-0.0413	-1.95	-0.624	-0.665	1.29
"mqo-2"	"PP_1251"	3.94637528165349e-06	5.52665872735744e-05	0.00772570282867925	0.00289	0.0159	0.5	FALSE	TRUE	TRUE	FALSE	TRUE	-5.41	3.74	-1.67	-3.05	0.689	2.36
"ndh"	"PP_0626"	0.000600991075436044	0.00123576263575073	7.70915499978027e-06	0.445	0.36	3.21e-05	FALSE	FALSE	FALSE	TRUE	TRUE	-0.701	-0.624	-1.32	-0.0257	-0.649	0.675
"oadA"	"PP_5346"	0.103784610738388	0.00011269450136146	0.00077541235869766	0.876	0.0405	0.119	FALSE	FALSE	TRUE	FALSE	TRUE	-0.304	1.19	0.883	-0.497	0.69	-0.193
"oprB-1"	"PP_1019"	0.0055657445795674	2.07010362386237e-06	2.76740406211141e-05	0.725	5.69e-06	0.000878	FALSE	FALSE	TRUE	TRUE	TRUE	-1.42	4.71	3.29	-2.04	2.67	-0.623
"oprC"	"PP_4838"	0.000124023200975642	0.00891841130751155	7.56111303568017e-06	0.184	0.691	3.02e-05	FALSE	FALSE	FALSE	TRUE	TRUE	-1.36	-0.664	-2.02	-0.231	-0.896	1.13
"paaH"	"PP_3755"	7.15940852813807e-05	0.0261240346299618	8.28216643954276e-06	0.115	0.795	4e-05	FALSE	FALSE	FALSE	TRUE	TRUE	-3.03	-1.08	-4.12	-0.65	-1.73	2.38
"pcaC"	"PP_1381"	2.18334340960134e-06	4.54047956261783e-05	0.0027988948371891	0.000881	0.012	0.318	FALSE	TRUE	FALSE	FALSE	TRUE	1.49	-0.974	0.512	0.82	-0.154	-0.666
"pcaH"	"PP_4656"	2.12259416836181e-05	0.85198459428532	2.46813689874745e-05	0.0337	0.937	0.000692	TRUE	TRUE	FALSE	TRUE	TRUE	5.82	-0.123	5.7	1.98	1.86	-3.84
"pgl"	"PP_1023"	0.00374074783173655	7.14050216450597e-07	8.05673400105037e-06	0.689	6.3e-08	3.68e-05	FALSE	FALSE	TRUE	TRUE	TRUE	-0.968	3.44	2.48	-1.47	1.97	-0.503
"phhA"	"PP_4490"	8.93296833230244e-07	0.021309522724621	2.24045540464245e-07	9.2e-05	0.779	3.79e-13	FALSE	TRUE	FALSE	TRUE	TRUE	-5.22	-1.06	-6.28	-1.39	-2.45	3.83
"phhB"	"PP_4491"	3.88676623301037e-06	0.228848202777563	9.2603117039158e-06	0.00282	0.902	5.54e-05	FALSE	TRUE	FALSE	TRUE	TRUE	-2.75	0.31	-2.44	-1.02	-0.711	1.73
"phoB"	"PP_5320"	0.000106504588239504	0.000133302521770601	0.818973307654176	0.162	0.0499	0.903	FALSE	FALSE	TRUE	FALSE	TRUE	1.34	-1.3	0.0438	0.881	-0.419	-0.462
"phoP"	"PP_1186"	2.21916698411356e-05	0.00346772690595162	0.00127037135756456	0.0354	0.554	0.185	FALSE	TRUE	FALSE	FALSE	TRUE	-1.65	0.753	-0.896	-0.801	-0.0475	0.848
"plsX"	"PP_1912"	0.00010893649475139	0.909645473724923	0.000121689584360306	0.166	0.938	0.013	FALSE	FALSE	FALSE	TRUE	TRUE	-1.88	0.0305	-1.85	-0.637	-0.607	1.24
"pntA"	"PP_0156"	2.180887336664e-05	0.00292201096542789	0.00144832227280639	0.0347	0.524	0.205	FALSE	TRUE	FALSE	FALSE	TRUE	1.89	-0.89	1	0.928	0.0381	-0.966
"PP_0139"	"PP_0139"	0.000191290780446697	8.68703119967893e-05	0.433724531278807	0.25	0.0289	0.877	FALSE	FALSE	TRUE	FALSE	TRUE	1.09	-1.23	-0.135	0.773	-0.454	-0.319
"PP_0154"	"PP_0154"	2.17745637937442e-05	1.03927929574157e-07	1.3672557301517e-05	0.0347	3.07e-13	0.000163	FALSE	TRUE	TRUE	TRUE	TRUE	1.54	-3.18	-1.64	1.58	-1.61	0.0346
"PP_0159"	"PP_0159"	2.09316627279447e-05	0.147818510304076	8.04415887830136e-05	0.0332	0.887	0.00665	FALSE	TRUE	FALSE	TRUE	TRUE	-2.37	0.416	-1.96	-0.929	-0.513	1.44
"PP_0168"	"PP_0168"	1.10738942603549e-05	0.000160939914842965	0.0133013800342792	0.0148	0.0618	0.586	FALSE	TRUE	FALSE	FALSE	TRUE	1.34	-0.913	0.427	0.751	-0.162	-0.589
"PP_0179"	"PP_0179"	0.703955411221203	5.97168511445763e-05	4.25681107228582e-05	0.922	0.0176	0.00211	FALSE	FALSE	TRUE	TRUE	TRUE	0.0752	1.51	1.58	-0.477	1.03	-0.552
"PP_0258"	"PP_0258"	3.36174962042295e-06	7.60512464881233e-07	0.0307937186183749	0.00217	8.33e-08	0.693	FALSE	TRUE	TRUE	FALSE	TRUE	1.39	-1.7	-0.31	1.03	-0.669	-0.359
"PP_0267"	"PP_0267"	8.85844332445329e-06	0.261112968485157	2.1611987049312e-05	0.0108	0.906	0.000514	FALSE	TRUE	FALSE	TRUE	TRUE	-3.31	0.388	-2.92	-1.23	-0.844	2.08
"PP_0291"	"PP_0291"	4.62157636846363e-05	0.718080209289315	6.39192012277176e-05	0.0765	0.932	0.00451	FALSE	FALSE	FALSE	TRUE	TRUE	1.87	-0.0855	1.79	0.653	0.567	-1.22
"PP_0319"	"PP_0319"	7.30322330703185e-06	0.00306831563797087	0.000254170591531665	0.00794	0.533	0.0353	FALSE	TRUE	FALSE	TRUE	TRUE	-2.26	0.905	-1.36	-1.06	-0.151	1.21
"PP_0353"	"PP_0353"	7.65056944914738e-07	2.08496880808105e-08	2.62969546657488e-05	6e-05	5.38e-14	0.000791	FALSE	TRUE	TRUE	TRUE	TRUE	2.6	-4.2	-1.6	2.27	-1.93	-0.334
"PP_0357"	"PP_0357"	3.85284292628711e-06	0.0854003808597484	1.48178277205316e-05	0.00277	0.864	2e-04	TRUE	TRUE	FALSE	TRUE	TRUE	4.84	-0.822	4.02	1.89	1.06	-2.95
"PP_0383"	"PP_0383"	3.19616659070956e-08	0.00180978887775104	7.46947321703982e-09	2.47e-11	0.435	2.6e-14	FALSE	TRUE	FALSE	TRUE	TRUE	-3.69	-0.778	-4.46	-0.969	-1.75	2.72
"PP_0395"	"PP_0395"	0.0185402021649565	0.00728563155067116	0.000204553566995067	0.807	0.665	0.0267	FALSE	FALSE	FALSE	TRUE	TRUE	0.636	0.774	1.41	-0.0458	0.728	-0.682
"PP_0405"	"PP_0405"	0.00171967807988245	1.29960834280939e-05	0.00103827004033626	0.601	0.00118	0.156	FALSE	FALSE	TRUE	FALSE	TRUE	-0.742	1.55	0.807	-0.764	0.786	-0.0217
"PP_0411"	"PP_0411"	0.0224529093533077	0.000682456225281646	4.18466771460415e-05	0.817	0.246	0.00204	FALSE	FALSE	FALSE	TRUE	TRUE	0.378	0.727	1.11	-0.116	0.611	-0.495
"PP_0412"	"PP_0412"	0.00546161105930236	0.00165694429133683	3.44415184022146e-05	0.724	0.418	0.00138	FALSE	FALSE	FALSE	TRUE	TRUE	0.867	1.07	1.94	-0.0685	1	-0.936
"PP_0427"	"PP_0427"	3.85983278429449e-06	0.00158500685805418	0.000160203542876487	0.00278	0.409	0.019	FALSE	TRUE	FALSE	FALSE	TRUE	-1.51	0.619	-0.888	-0.709	-0.0898	0.798
"PP_0486"	"PP_0486"	0.000370865614624948	0.206840297108595	9.40399423587383e-05	0.363	0.898	0.00867	FALSE	FALSE	FALSE	TRUE	TRUE	-1.77	-0.405	-2.17	-0.454	-0.859	1.31
"PP_0574"	"PP_0574"	3.40692506117982e-06	2.73062815843618e-05	0.0188602364049767	0.00223	0.00528	0.635	FALSE	TRUE	TRUE	FALSE	TRUE	1.4	-1.05	0.352	0.817	-0.232	-0.584
"PP_0596"	"PP_0596"	2.53448624963676e-05	0.0672756406298255	5.46801712168786e-06	0.0408	0.853	1.02e-05	FALSE	TRUE	FALSE	TRUE	TRUE	-1.59	-0.38	-1.97	-0.405	-0.785	1.19
