"name"	"ID"	"Ac_vs_LB_p.val"	"Glc_vs_Ac_p.val"	"Glc_vs_LB_p.val"	"Ac_vs_LB_p.adj"	"Glc_vs_Ac_p.adj"	"Glc_vs_LB_p.adj"	"imputed"	"Ac_vs_LB_significant"	"Glc_vs_Ac_significant"	"Glc_vs_LB_significant"	"significant"	"Ac_vs_LB_log2fc"	"Glc_vs_Ac_log2fc"	"Glc_vs_LB_log2fc"	"Ac_centered"	"Glc_centered"	"LB_centered"
"rnhB"	"PP_1605"	0.531096778846383	0.0946382176487055	0.247969204420741	0.916	0.869	0.851	FALSE	FALSE	FALSE	FALSE	FALSE	-0.553	1.61	1.05	-0.72	0.887	-0.167
"rnk"	"PP_5223"	0.369028555151284	0.842972099861711	0.475975037943911	0.908	0.936	0.881	FALSE	FALSE	FALSE	FALSE	FALSE	0.269	-0.0577	0.211	0.109	0.0511	-0.16
"rnpA"	NA	0.137553044430327	0.328393760755458	0.556919209943307	0.884	0.912	0.887	FALSE	FALSE	FALSE	FALSE	FALSE	0.353	-0.222	0.131	0.192	-0.0305	-0.161
"rnt"	"PP_1085"	0.346775045688279	0.342932734225564	0.993421453016994	0.906	0.914	0.91	FALSE	FALSE	FALSE	FALSE	FALSE	-0.11	0.111	0.000938	-0.0739	0.0374	0.0365
"rpe"	"PP_0415"	0.018018152730663	0.843769294995816	0.0133278753867823	0.805	0.936	0.586	FALSE	FALSE	FALSE	FALSE	FALSE	-0.357	-0.0243	-0.382	-0.111	-0.135	0.246
"rph"	"PP_5294"	0.0323346168785532	0.252261375235326	0.00530647852987077	0.834	0.905	0.435	FALSE	FALSE	FALSE	FALSE	FALSE	-0.279	-0.133	-0.412	-0.0489	-0.182	0.231
"rpiA"	"PP_5150"	0.0303500862332531	0.089872468761378	0.49894358748642	0.831	0.867	0.883	FALSE	FALSE	FALSE	FALSE	FALSE	0.334	-0.244	0.0893	0.193	-0.0516	-0.141
"rplA"	"PP_0444"	0.852367036959547	0.325524915183241	0.250577500112317	0.926	0.912	0.852	FALSE	FALSE	FALSE	FALSE	FALSE	0.0304	0.166	0.197	-0.0452	0.121	-0.0757
"rplB"	"PP_0457"	0.380353789813298	0.0277598943006944	0.114929746764872	0.908	0.799	0.807	FALSE	FALSE	FALSE	FALSE	FALSE	-0.178	0.519	0.341	-0.233	0.287	-0.0541
"rplC"	NA	0.652278332156409	0.110742497576802	0.220552168506561	0.92	0.876	0.845	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0685	0.263	0.195	-0.111	0.153	-0.0421
